digital01	1	/static/mieSys/ads/digital/digital01	1	digital	2
digital02	1	/static/mieSys/ads/digital/digital02	1	digital	2
digital03	1	/static/mieSys/ads/digital/digital03	1	digital	2
digital04	1	/static/mieSys/ads/digital/digital04	1	digital	2
digital05	1	/static/mieSys/ads/digital/digital05	1	digital	1
digital06	1	/static/mieSys/ads/digital/digital06	1	digital	1
digital07	1	/static/mieSys/ads/digital/digital07	1	digital	1
digital08	1	/static/mieSys/ads/digital/digital08	1	digital	1
digital09	2	/static/mieSys/ads/digital/digital09	1	digital	3
digital10	2	/static/mieSys/ads/digital/digital10	1	digital	3
digital11	2	/static/mieSys/ads/digital/digital11	1	digital	3
digital12	2	/static/mieSys/ads/digital/digital12	1	digital	3
skin01	3	/static/mieSys/ads/skin/skin01	0	skin	1
skin02	3	/static/mieSys/ads/skin/skin02	0	skin	1
skin03	3	/static/mieSys/ads/skin/skin03	0	skin	1
skin04	3	/static/mieSys/ads/skin/skin04	0	skin	1
skin05	4	/static/mieSys/ads/skin/skin05	0	skin	2
skin06	4	/static/mieSys/ads/skin/skin06	0	skin	2
skin07	4	/static/mieSys/ads/skin/skin07	0	skin	2
skin08	4	/static/mieSys/ads/skin/skin08	0	skin	2
skin09	5	/static/mieSys/ads/skin/skin09	0	skin	3
skin10	5	/static/mieSys/ads/skin/skin10	0	skin	3
skin11	5	/static/mieSys/ads/skin/skin11	0	skin	3
skin12	5	/static/mieSys/ads/skin/skin12	0	skin	3
shoes01	6	/static/mieSys/ads/shoes/shoes01	1	shoes	1
shoes02	6	/static/mieSys/ads/shoes/shoes02	1	shoes	1
shoes03	6	/static/mieSys/ads/shoes/shoes03	1	shoes	1
shoes04	6	/static/mieSys/ads/shoes/shoes04	0	shoes	1
shoes05	6	/static/mieSys/ads/shoes/shoes05	0	shoes	1
shoes06	6	/static/mieSys/ads/shoes/shoes06	0	shoes	1
shoes07	7	/static/mieSys/ads/shoes/shoes07	1	shoes	2
shoes08	7	/static/mieSys/ads/shoes/shoes08	1	shoes	2
shoes09	7	/static/mieSys/ads/shoes/shoes09	1	shoes	2
shoes10	7	/static/mieSys/ads/shoes/shoes10	0	shoes	2
shoes11	7	/static/mieSys/ads/shoes/shoes11	0	shoes	2
shoes12	7	/static/mieSys/ads/shoes/shoes12	0	shoes	2
